,해리어_1,해리어_2,해리어_3,해리어_4,해리어_5,해리어_6,해리어_7,해리어_8,해리어_9,해리어_10,해리어_11,해리어_12,해리어_13,해리어_14,해리어_15,해리어_16,해리어_17,해리어_18,해리어_19,해리어_20
Transportation,90.61476135253906,0.0,95.62500762939453,99.13540649414062,98.35751342773438,97.29484558105469,98.75236511230469,96.35150146484375,98.51564025878906,96.68183898925781,95.70108795166016,96.27064514160156,96.57489013671875,95.95047760009766,95.92272186279297,0.0,94.3861083984375,97.73880004882812,96.89302825927734,94.62894439697266
Vehicle,90.61476135253906,0.0,95.62500762939453,99.13540649414062,98.35751342773438,97.29484558105469,98.75236511230469,96.35150146484375,98.51564025878906,96.68183898925781,95.70108795166016,96.27064514160156,96.57489013671875,95.95047760009766,95.92272186279297,0.0,94.3861083984375,97.73880004882812,96.89302825927734,94.62894439697266
Aircraft,90.61476135253906,0.0,95.62500762939453,99.13540649414062,98.35751342773438,97.29484558105469,98.75236511230469,96.35150146484375,98.51564025878906,96.68183898925781,95.70108795166016,96.27064514160156,96.57489013671875,95.95047760009766,95.92272186279297,0.0,94.3861083984375,97.73880004882812,96.89302825927734,92.98991394042969
Airplane,88.07969665527344,0.0,95.3877182006836,99.13540649414062,98.35751342773438,97.29484558105469,98.75236511230469,96.35150146484375,98.51564025878906,96.68183898925781,95.70108795166016,96.27064514160156,96.57489013671875,95.95047760009766,95.92272186279297,0.0,91.04447174072266,97.73880004882812,96.89302825927734,92.98991394042969
Bow,72.93898010253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tool,61.284915924072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jet,58.58356857299805,0.0,76.94580078125,78.62063598632812,70.11646270751953,88.86192321777344,85.76617431640625,79.13807678222656,63.054443359375,92.3182373046875,57.67982482910156,81.54177856445312,0.0,92.7223892211914,95.92272186279297,0.0,72.64551544189453,83.4372329711914,96.89302825927734,58.02103805541992
Canine,0.0,98.73194122314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hound,0.0,98.73194122314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal,0.0,98.73194122314453,99.75077819824219,67.55061340332031,0.0,0.0,0.0,0.0,70.70010375976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
