,홋카이도 이누_1,홋카이도 이누_2,홋카이도 이누_3,홋카이도 이누_4,홋카이도 이누_5,홋카이도 이누_6,홋카이도 이누_7,홋카이도 이누_8,홋카이도 이누_9,홋카이도 이누_10,홋카이도 이누_11,홋카이도 이누_12,홋카이도 이누_13,홋카이도 이누_14,홋카이도 이누_15,홋카이도 이누_16,홋카이도 이누_17,홋카이도 이누_18,홋카이도 이누_19,홋카이도 이누_20
Dog,98.05596923828125,73.4849853515625,84.51528930664062,90.46299743652344,97.51338195800781,0.0,81.02690887451172,91.81024932861328,93.85633087158203,74.64524841308594,74.90599822998047,99.87256622314453,55.61628341674805,94.41373443603516,91.5603256225586,97.81807708740234,92.38026428222656,99.30878448486328,92.3853759765625,60.56980514526367
Mammal,98.05596923828125,88.58576965332031,86.70555877685547,90.46299743652344,97.51338195800781,98.50313568115234,87.29192352294922,91.8183822631836,93.85633087158203,80.75877380371094,87.2259521484375,99.87256622314453,77.07437133789062,94.41373443603516,91.5603256225586,97.81807708740234,93.28564453125,99.30878448486328,92.3853759765625,81.45775604248047
Pet,98.05596923828125,73.4849853515625,84.51528930664062,90.46299743652344,97.51338195800781,0.0,83.07608795166016,92.28870391845703,93.85633087158203,79.9232406616211,78.92484283447266,99.87256622314453,76.46376037597656,94.41373443603516,91.5603256225586,97.81807708740234,92.64323425292969,99.30878448486328,92.3853759765625,80.4565200805664
Animal,98.05596923828125,89.47500610351562,86.70555877685547,90.46299743652344,97.51338195800781,98.50313568115234,87.29192352294922,92.28870391845703,93.85633087158203,80.75877380371094,87.2259521484375,99.87256622314453,77.07437133789062,94.41373443603516,91.5603256225586,97.81807708740234,93.28564453125,99.30878448486328,92.3853759765625,81.45775604248047
Husky,98.05596923828125,59.998870849609375,62.46947479248047,90.46299743652344,97.51338195800781,0.0,59.09388732910156,57.37885284423828,93.85633087158203,67.14635467529297,58.926368713378906,99.87256622314453,0.0,94.41373443603516,91.5603256225586,97.81807708740234,90.99591064453125,99.30878448486328,92.3853759765625,60.56980514526367
Canine,98.05596923828125,82.38080596923828,86.70555877685547,90.46299743652344,97.51338195800781,98.50313568115234,85.13679504394531,91.8183822631836,93.85633087158203,74.64524841308594,87.2259521484375,99.87256622314453,73.18717956542969,94.41373443603516,91.5603256225586,97.81807708740234,93.28564453125,99.30878448486328,92.3853759765625,81.45775604248047
Golden Retriever,71.77960205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Dog,57.37525177001953,0.0,0.0,57.636104583740234,0.0,0.0,56.47183609008789,0.0,91.67039489746094,0.0,0.0,66.46806335449219,0.0,0.0,0.0,57.49912643432617,68.93500518798828,0.0,0.0,0.0
Coyote,0.0,82.32890319824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.018123626708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wolf,0.0,79.7323989868164,0.0,0.0,65.74853515625,73.29155731201172,61.391807556152344,0.0,0.0,0.0,59.14209747314453,0.0,56.068214416503906,56.48992156982422,68.77926635742188,0.0,0.0,0.0,65.82532501220703,0.0
Red Wolf,0.0,69.16792297363281,0.0,0.0,65.74853515625,73.29155731201172,61.391807556152344,0.0,0.0,0.0,59.14209747314453,0.0,56.068214416503906,0.0,68.77926635742188,0.0,0.0,0.0,65.82532501220703,0.0
Puppy,0.0,56.86198043823242,0.0,0.0,0.0,0.0,57.06351089477539,82.91425323486328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.29780197143555,0.0
Text,0.0,0.0,60.471641540527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snout,0.0,0.0,59.31257247924805,81.29782104492188,0.0,0.0,0.0,56.3515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,62.404144287109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.72089767456055
Wildlife,0.0,0.0,0.0,0.0,0.0,98.50313568115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fox,0.0,0.0,0.0,0.0,0.0,98.50313568115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kit Fox,0.0,0.0,0.0,0.0,0.0,98.50313568115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Fox,0.0,0.0,0.0,0.0,0.0,89.55807495117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
