,휘핏_1,휘핏_2,휘핏_3,휘핏_4,휘핏_5,휘핏_6,휘핏_7,휘핏_8,휘핏_9,휘핏_10,휘핏_11,휘핏_12,휘핏_13,휘핏_14,휘핏_15,휘핏_16,휘핏_17,휘핏_18,휘핏_19,휘핏_20
Hound,93.96006774902344,57.67549514770508,99.9892578125,59.477413177490234,72.38054656982422,57.595054626464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.56056594848633,0.0,86.09602355957031,57.34297561645508,63.629493713378906,0.0
Canine,93.96006774902344,67.96158599853516,99.9892578125,82.52360534667969,98.89790344238281,97.03067779541016,62.59487533569336,92.88392639160156,69.74079895019531,0.0,92.47142791748047,99.634521484375,84.94358825683594,97.30266571044922,84.30540466308594,91.00386047363281,91.73906707763672,92.35225677490234,90.61051940917969,64.41702270507812
Animal,93.96006774902344,92.37696838378906,99.9892578125,94.29608917236328,98.89790344238281,97.03067779541016,93.80408477783203,92.88392639160156,95.02859497070312,0.0,92.47142791748047,99.634521484375,84.94358825683594,97.30266571044922,84.30540466308594,91.00386047363281,91.73906707763672,92.35225677490234,90.61051940917969,77.10728454589844
Pet,93.96006774902344,73.0997543334961,99.9892578125,77.09280395507812,98.89790344238281,97.03067779541016,61.955352783203125,92.88392639160156,89.60034942626953,0.0,91.30364227294922,99.634521484375,84.4070053100586,97.30266571044922,83.05751037597656,90.01055145263672,90.4771499633789,91.52446746826172,90.61051940917969,58.0242919921875
Dog,93.96006774902344,62.024986267089844,99.9892578125,76.23087310791016,98.89790344238281,97.03067779541016,0.0,92.88392639160156,64.86421966552734,0.0,91.30364227294922,99.634521484375,82.59225463867188,97.30266571044922,82.73448181152344,89.7934799194336,90.10216522216797,91.52446746826172,90.61051940917969,0.0
Mammal,93.96006774902344,92.37696838378906,99.9892578125,94.24566650390625,98.89790344238281,97.03067779541016,86.8705062866211,92.88392639160156,93.08331298828125,0.0,92.47142791748047,99.634521484375,84.94358825683594,97.30266571044922,84.30540466308594,91.00386047363281,91.73906707763672,92.35225677490234,90.61051940917969,77.10728454589844
Grass,61.42489242553711,0.0,0.0,0.0,0.0,93.23736572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,61.42489242553711,0.0,0.0,0.0,0.0,93.23736572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghan Hound,0.0,0.0,97.72749328613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Person,0.0,0.0,70.57135772705078,0.0,0.0,0.0,91.24248504638672,0.0,0.0,94.8055419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.73291778564453
